,channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,device.browser,device.browserSize,device.browserVersion,device.deviceCategory,device.flashVersion,device.isMobile,device.language,device.mobileDeviceBranding,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.mobileDeviceModel,device.mobileInputSelector,device.operatingSystem,device.operatingSystemVersion,device.screenColors,device.screenResolution,geoNetwork.city,geoNetwork.cityId,geoNetwork.continent,geoNetwork.country,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.networkLocation,geoNetwork.region,geoNetwork.subContinent,totals.bounces,totals.hits,totals.newVisits,totals.pageviews,totals.transactionRevenue,totals.visits,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.campaignCode,trafficSource.isTrueDirect,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source
22500,Direct,20161110,4984366501121503466,4984366501121503466_1478792651,Not Socially Engaged,1478792651,6,1478792651,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,not available in demo dataset,not available in demo dataset,Northern America,,44,,32,538200000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
22514,Organic Search,20161110,1956307607572137989,1956307607572137989_1478811668,Not Socially Engaged,1478811668,17,1478811668,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,nuvox.net,not available in demo dataset,not available in demo dataset,Northern America,,63,,50,863410000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
22522,Organic Search,20161110,1956307607572137989,1956307607572137989_1478816995,Not Socially Engaged,1478816995,18,1478816995,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,nuvox.net,not available in demo dataset,not available in demo dataset,Northern America,,80,,57,642930000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
30832,Direct,20170621,9026840718082010040,9026840718082010040_1498050723,Not Socially Engaged,1498050723,31,1498050723,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcastbusiness.net,not available in demo dataset,not available in demo dataset,Northern America,,26,,24,5498000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
30877,Referral,20170621,6296763059019207281,6296763059019207281_1498081167,Not Socially Engaged,1498081167,7,1498081167,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Los Angeles,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Los Angeles CA,(not set),not available in demo dataset,California,Northern America,,74,,46,784650000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
32697,Referral,20161123,8436426603099391262,8436426603099391262_1479954329,Not Socially Engaged,1479954329,37,1479954329,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Ann Arbor,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Detroit MI,rr.com,not available in demo dataset,Michigan,Northern America,,13,,11,803400000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,mall.googleplex.com
32874,Direct,20161123,9725941383382274621,9725941383382274621_1479932305,Not Socially Engaged,1479932305,10,1479932305,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,Seattle,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Seattle-Tacoma WA,(not set),not available in demo dataset,Washington,Northern America,,48,,35,657600000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
32881,Referral,20161123,9029794295932939024,9029794295932939024_1479905008,Not Socially Engaged,1479905008,6,1479905008,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,bhn.net,not available in demo dataset,not available in demo dataset,Northern America,,63,,49,805290000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/mail/u/0/,mail.google.com
32888,Referral,20161123,5617770153245303309,5617770153245303309_1479910891,Not Socially Engaged,1479910891,7,1479910891,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,optonline.net,not available in demo dataset,California,Northern America,,80,,61,927200000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
36623,Referral,20170501,7640844068811990915,7640844068811990915_1493658838,Not Socially Engaged,1493658838,2,1493658838,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,22,,20,519000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
41081,Display,20170630,1957458976293878100,1957458976293878100_1498830593,Not Socially Engaged,1498830593,315,1498830593,Firefox,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcastbusiness.net,not available in demo dataset,not available in demo dataset,Northern America,,42,,30,1196740000.0,1,,,not available in demo dataset,,,,,(not set),,True,,cpm,,dfa
41083,Organic Search,20170630,6873140036612855431,6873140036612855431_1498877574,Not Socially Engaged,1498877574,9,1498877574,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,rr.com,not available in demo dataset,New York,Northern America,,44,,35,592880000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
43909,Direct,20161213,3444642706013409818,3444642706013409818_1481693637,Not Socially Engaged,1481693637,9,1481693637,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,16,,14,999500000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
43960,Referral,20161213,2294757944914427558,2294757944914427558_1481657324,Not Socially Engaged,1481657324,17,1481657324,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,19,,17,507040000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
43975,Referral,20161213,8444725132150789814,8444725132150789814_1481645890,Not Socially Engaged,1481645890,6,1481645890,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,Atlanta,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Atlanta GA,(not set),not available in demo dataset,Georgia,Northern America,,20,,20,740480000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
44135,Organic Search,20161213,047096740790346861,047096740790346861_1481653607,Not Socially Engaged,1481653607,6,1481653607,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,Sunnyvale,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,72,,57,1679720000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
44144,Referral,20161213,3158455409969332495,3158455409969332495_1481681694,Not Socially Engaged,1481681694,6,1481681694,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Jose,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,comcast.net,not available in demo dataset,California,Northern America,,108,,78,1509390000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,mall.googleplex.com
46635,Organic Search,20170519,8355761719753398617,8355761719753398617_1495205776,Not Socially Engaged,1495205776,3,1495205776,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,29,,19,839050000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
51147,Referral,20161014,2357073894289283929,2357073894289283929_1476463580,Not Socially Engaged,1476463580,36,1476463580,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,comcast.net,not available in demo dataset,California,Northern America,,8,,8,599000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/mail/u/0/,mail.google.com
51474,Direct,20161014,3329885141648806984,3329885141648806984_1476490239,Not Socially Engaged,1476490239,1,1476490239,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,not available in demo dataset,not available in demo dataset,Northern America,,55,1,41,624450000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
51476,Direct,20161014,6147396474895233852,6147396474895233852_1476482474,Not Socially Engaged,1476482474,2,1476482474,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,55,,41,623700000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
51479,Organic Search,20161014,382764578031539000,382764578031539000_1476473583,Not Socially Engaged,1476473583,1,1476473583,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,verizon.net,not available in demo dataset,New York,Northern America,,60,1,50,922940000.0,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
51487,Direct,20161014,9725941383382274621,9725941383382274621_1476463143,Not Socially Engaged,1476463143,2,1476463143,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,Seattle,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Seattle-Tacoma WA,(not set),not available in demo dataset,Washington,Northern America,,115,,75,663600000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
57304,Organic Search,20170515,5323620141964404346,5323620141964404346_1494871530,Not Socially Engaged,1494871530,2,1494871530,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Francisco,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,32,,22,739480000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
